,Disease,combined_symptoms
14,Acute coronary syndrome,chest pain discomfort this often described ache pressure tightness burning chest pain also call angina pain that start the chest and spread other part the body these area include the shoulder arm upper belly area back neck jaw nausea vomit indigestion shortness breath also call dyspnea sudden heavy sweat race heartbeat feel lightheaded dizzy fainting unusual fatigue the symptom acute coronary syndrome usually begin suddenly they include
15,Acute myelogenous leukemia,feverbone painlethargy and fatigueshortness breathpale skinfrequent infectionseasy bruisingunusual bleeding such frequent nosebleed and bleeding from the gumsgeneral sign and symptom the early stage acute myelogenous leukemia may mimic those the flu other common disease
16,Guillain-Barre syndrome,pin and needle sensation your finger toe ankle wristsweakness your leg that spread your upper bodyunsteady walk inability walk climb stairsdifficulty with facial movement include speak chew swallowingdouble vision inability move the eyessevere pain that may feel achy shoot cramplike and may bad nightdifficulty with bladder control bowel functionrapid heart ratelow high blood pressuredifficulty breathingguillain barre syndrome often begin with tingle and weakness start your foot and leg and spread your upper body and arm some people notice the first symptom the arm face guillain barre syndrome progress muscle weakness can turn into paralysis
17,Acute kidney failure,decrease urine output although occasionally urine output remains normalfluid retention cause swell your leg ankle feetshortness breathfatigueconfusionnauseaweaknessirregular heartbeatchest pain pressureseizures coma severe casessigns and symptom acute kidney failure may include
18,Acute liver failure,yellow your skin and eyeball jaundice pain your upper right abdomena swollen belly ascites nauseavomitinga general sense feel unwell malaise disorientation confusionsleepinessbreath may have musty sweet odortremorssigns and symptom acute liver failure may include
19,Acute lymphocytic leukemia,bleeding from the gumsbone painfeverfrequent infectionsfrequent severe nosebleedslumps cause swollen lymph node and around the neck armpit abdomen groinpale skinshortness breathweakness fatigue general decrease energysigns and symptom acute lymphocytic leukemia may include
26,Radiation sickness,nausea and vomitingdiarrheaheadachefeverdizziness and disorientationweakness and fatiguehair lossbloody vomit and stool from internal bleedinginfectionslow blood pressurethe severity sign and symptom radiation sickness depends how much radiation you absorbed how much you absorb depends the strength the radiate energy the time your exposure and the distance between you and the source radiation
29,ARDS,severe shortness breathlabored and unusually rapid breathinglow blood pressureconfusion and extreme tirednessthe sign and symptom ards can vary intensity depend it cause and severity well the presence underlie heart lung disease they include
30,Acute sinusitis,thick yellow greenish mucus from the nose runny nose down the back the throat postnasal drainage block stuffy nose congestion cause difficulty breathing through your nosepain tenderness swell and pressure around your eye cheek nose forehead that worsens when bending overacute sinusitis sign and symptom often include
31,Alcohol use disorder,be unable limit the amount alcohol you drinkwanting cut down how much you drink make unsuccessful attempt sospending lot time drinking get alcohol recover from alcohol usefeeling strong crave urge drink alcoholfailing fulfill major obligation work school home due repeat alcohol usecontinuing drink alcohol even though you know cause physical social work relationship problemsgiving reduce social and work activity and hobby use alcoholusing alcohol situation where not safe such when drive swimmingdeveloping tolerance alcohol you need more feel it effect you have reduce effect from the same amountexperiencing withdrawal symptom such nausea sweat and shake when you don drink drinking avoid these symptomsalcohol use disorder can mild moderate severe base the number symptom you experience sign and symptom may include
32,Nicotine dependence,you can stop smoking you make one more serious but unsuccessful attempt stop you have withdrawal symptom when you try stop your attempt stop have cause physical and mood related symptom such strong craving anxiety irritability restlessness difficulty concentrate depressed mood frustration anger increase hunger insomnia constipation diarrhea you keep smoking despite health problem even though you developed health problem with your lung your heart you haven be able stop you give social activity you may stop go smoke free restaurant stop socialize with family friend because you can smoke these situation for some people use any amount tobacco can quickly lead nicotine dependence sign that you may addict include
33,Addison's disease,extreme fatigueweight loss and loss appetiteareas darken skinlow blood pressure even faintingsalt cravinglow blood sugar also call hypoglycemianausea diarrhea vomitingabdominal painmuscle and joint painirritabilitydepressionbody hair loss sexual issue some peopleaddison disease symptom usually happen slowly often over month the disease can move slowly that people who have may ignore the symptom first then stress such illness injury make symptom bad
34,Mesenteric lymphadenitis,abdominal pain often center the low right side but the pain can more widespreadgeneral abdominal tendernessfevermesenteric lymph node enlargementpossible sign and symptom mesenteric lymphadenitis include
35,Attention-deficit/hyperactivity disorder (ADHD) in children,predominantly inattentive the majority symptom fall under inattention predominantly hyperactive impulsive the majority symptom be hyperactive and impulsive combine this mix inattentive symptom and hyperactive impulsive symptom the primary feature adhd include inattention and hyperactive impulsive behavior adhd symptom start before age and some child they noticeable early year age adhd symptom can mild moderate severe and they may continue into adulthood
36,Adult attention-deficit/hyperactivity disorder (ADHD),impulsivenessdisorganization and problem prioritizingpoor time management skillsproblems focus tasktrouble multitaskingexcessive activity restlessnesspoor planninglow frustration tolerancefrequent mood swingsproblems follow through and complete taskshot tempertrouble cop with stresssome people with adhd have few symptom they age but some adult continue have major symptom that interfere with daily function adult the main feature adhd may include difficulty pay attention impulsiveness and restlessness symptom can range from mild severe
37,Frozen shoulder,freeze stage any movement the shoulder cause pain and the shoulder ability move becomes limited this stage last from month frozen stage pain might lessen during this stage however the shoulder becomes stiffer use becomes more difficult this stage last from month thaw stage the shoulder ability move begin improve this stage last from month frozen shoulder typically develops slowly three stage
38,Adjustment disorders,feel sad hopeless not enjoy thing you use enjoy cry often worry feel anxious nervous jittery stress out feel irritable like you can handle anything and don know where start have trouble sleep not eat enough have difficulty concentrate have difficulty with daily activity withdraw from family and friend who support you socially not do important thing such go work pay bill think about suicide act those thought symptom depend the type adjustment disorder these symptom can vary from person person you experience more stress than would generally expect response try event and this stress cause lot problem your life
39,Childhood schizophrenia,problem with think and reasoningbizarre idea speechconfusing dream television for realityschizophrenia involves range problem with think behavior emotion sign and symptom may vary but usually involve delusion hallucination disorganize speech and reflect impaired ability function the effect can disable
40,Adrenal cancer,weight gainmuscle weaknesspink purple stretch mark the skinhormone change woman that might cause excess facial hair hair loss the head and irregular periodshormone change men that might cause enlarge breast tissue and shrink testiclesnauseavomitingabdominal bloatingback painfeverloss appetiteloss weight without tryingsigns and symptom adrenal cancer include
42,Adult Still disease,fever fever may rise least degree fahrenheit degree celsius the fever may spike once twice day for week longer rash rash might come and go with the fever the rash usually appear the trunk arm leg sore throat this one the first symptom adult still disease the lymph node the neck might swollen and tender achy and swollen joint joint especially the knee and wrist might stiff painful and inflame ankle elbow hand and shoulder also might ache the joint discomfort usually last least two week muscle pain muscular pain usually come and go with the fever the pain can severe enough disrupt daily activity most people with adult still disease have combination the follow symptom
43,Dry macular degeneration,visual distortion such straight line seem bent reduce central vision one both eye the need for brighter light when reading do close work increase difficulty adapt low light level such when enter dimly lit restaurant theater increase blurriness print word difficulty recognize face well define blurry spot blind spot the field vision dry macular degeneration symptom usually develop gradually and without pain they may include
44,Wet macular degeneration,visual distortion such straight line seem bent reduce central vision one both eye the need for brighter light when reading do close work difficulty adjust low light level such when enter dimly lit restaurant theater increase blurriness print word difficulty recognize face well define blurry spot blind spot the field vision wet macular degeneration symptom usually appear suddenly and worsen quickly they may include
45,Myelofibrosis,feel tire weak short breath usually because anemiapain fullness below your rib the left side due enlarge spleeneasy bruisingeasy bleedingexcessive sweat during sleep night sweat feverbone painmyelofibrosis usually develops slowly it very early stage many people don experience sign symptom
46,Agoraphobia,leave home alone crowd wait line enclose space such movie theater elevator small store open space such parking lot bridge mall use public transportation such bus plane train typical agoraphobia symptom include fear
49,Albinism,freckle mole with without color which be sometimes pink large freckle like spot call solar lentigo len tij ih neez sunburn and ability tan symptom albinism involve skin hair and eye color well vision
51,Alcohol poisoning,confusion vomit seizure slow breathing which few than eight breath minute breathing that not regular this when there gap more than second between breath skin that look blue gray pale low body temperature also know hypothermia trouble stay conscious awake alcohol poison symptom include
53,Alcoholic hepatitis,loss appetitenausea and vomitingabdominal tendernessfever often low gradefatigue and weaknessthe most common sign alcoholic hepatitis yellow the skin and white the eye jaundice
54,Hay fever,runny nose and nasal stuffiness congestion watery itchy red eye allergic conjunctivitis sneezingcoughitchy nose roof mouth throatmucus that run down the back your throat postnasal drip swollen bruise appear skin under the eye allergic shiner extreme tiredness fatigue often due poor sleephay fever symptom can include
55,Allergies,sneezingitching the nose eye roof the mouthrunny stuffy nosewatery red swollen eye conjunctivitis allergy symptom which depend the substance involve can affect your airway sinus and nasal passage skin and digestive system allergic reaction can range from mild severe some severe case allergy can trigger life threaten reaction know anaphylaxis
56,Food allergy,tingle itch the mouthhives itch eczemaswelling the lip face tongue and throat other part the bodywheezing nasal congestion trouble breathingabdominal pain diarrhea nausea vomitingdizziness lightheadedness faintingfor some people allergic reaction particular food may uncomfortable but not severe for other people allergic food reaction can frighten and even life threaten food allergy symptom usually develop within few minute hour after eat the offend food rarely symptom may delayed for several hour
57,Latex allergy,itchingskin rednesshives rashif you allergic latex you likely have symptom after touch latex rubber product such glove balloon you also can have symptom you breathe latex particle that be release into the air when someone remove latex glove
58,Peanut allergy,skin reaction such hive redness swellingitching tingle around the mouth and throatdigestive problem such diarrhea stomach cramp nausea vomitingtightening the throatshortness breath wheezingrunny nosean allergic response peanut usually occurs within minute after exposure peanut allergy sign and symptom can include
59,Shellfish allergy,hivesitchy irritated skinnasal stuffiness congestion swell the lip face tongue and throat other part the bodywheezing trouble breathingcoughing and choke tight feel the throatbelly abdominal pain diarrhea nausea vomitingdizziness lightheadedness faintingshellfish allergy symptom generally start within minute hour after eat have contact with shellfish they may include
60,Hair loss,gradual thin top head this the most common type hair loss affect people they age men hair often begin recede the hairline the forehead woman typically have broadening the part their hair increasingly common hair loss pattern old woman recede hairline frontal fibrosing alopecia circular patchy bald spot some people lose hair circular patchy bald spot the scalp beard eyebrow your skin may become itchy painful before the hair fall out sudden loosening hair physical emotional shock can cause hair loosen handful hair may come out when comb wash your hair even after gentle tug this type hair loss usually cause overall hair thin but temporary full body hair loss some condition and medical treatment such chemotherapy for cancer can result the loss hair all over your body the hair usually grows back patch scale that spread over the scalp this sign ringworm may accompany broken hair redness swell and time ooze male pattern baldness typically appear first the hairline top the head can progress partial complete baldness
61,Alpha-gal syndrome,red meat such beef pork lamb organ meat product make from mammal such gelatin dairy product the symptom alpha gal allergic reaction usually take longer start compare with those other food allergy most reaction common food allergen peanut shellfish for example happen within minute after you be expose them alpha gal syndrome reaction usually appear about hour after you be expose food that can cause reaction include
62,Amyotrophic lateral sclerosis (ALS),trouble walk do usual daily activity trip and fall weakness the leg foot ankle hand weakness clumsiness slur speech trouble swallow weakness associate with muscle cramp and twitch the arm shoulder and tongue untimely cry laugh yawn think behavioral change symptom al vary from person person symptom depend which nerve cell be affected al generally begin with muscle weakness that spread and get bad over time symptom might include
63,Dry socket,severe pain within few day after remove tooth loss part all the blood clot the tooth removal site the socket may look empty bone that you can see the socket pain that spread from the socket your ear eye temple neck the same side your face the tooth removal bad breath foul odor come from your mouth bad taste your mouth symptom dry socket may include
64,Alzheimer's disease,repeat statement and question over and over forget conversation appointment event misplace item often put them place that don make sense get lose place they use know well eventually forget the name family member and everyday object have trouble find the right word for object express thought take part conversation memory loss the key symptom alzheimer disease early sign include difficulty remember recent event conversation but memory get bad and other symptom develop the disease progress
65,Ambiguous genitalia,enlarge clitoris which may resemble penisclosed labium labium that include fold and resemble scrotumlumps that feel like testis the fuse labiayour medical team will likely the first recognize ambiguous genitalia soon after your baby born occasionally ambiguous genitalia may suspect before birth prenatally characteristic can vary severity depend when during genital development the problem occur and the cause the disorder
66,Ameloblastoma,conventional ameloblastoma this the most common type and grows aggressively usually the low jawbone and approximately recur after treatment unicystic ameloblastoma this type less aggressive but typically occurs young age the tumor often the back the low jawbone the molar recurrence possible after treatment peripheral ameloblastoma this type rare and affect the gum and oral tissue the upper low jaw the tumor have low risk recurrence after treatment metastasize ameloblastoma this type very rare and define tumor cell that occur away from the primary site the jaw ameloblastoma often cause symptom but sign and symptom may include pain and lump swell the jaw
67,Amenorrhea,milky nipple dischargehair lossheadachevision changesexcess facial hairpelvic painacnedepending the cause amenorrhea you might experience other sign symptom along with the absence period such
68,Amnesia,trouble learn new information trouble remember past event and previously familiar information the two main feature amnesia be
70,Ampullary cancer,yellow the skin and eye jaundice clay color stoolsabdominal painfeverbleeding from the rectumnauseavomitingweight losssigns and symptom ampullary cancer may include
71,Amyloidosis,severe fatigue and weaknessshortness breathnumbness tingle pain the hand feetswelling the ankle and legsdiarrhea possibly with blood constipationan enlarge tongue which sometimes look ripple around it edgeskin change such thicken easy bruising and purplish patch around the eyessome people with amyloidosis experience purpura condition which small blood vessel leak blood into the skin this most commonly occurs around the eye but can also affect other part the body
74,Anal cancer,bleeding from the anus rectumpain the area the anusa mass growth the anal canalanal itchinganal cancer sign and symptom include
75,Anal fissure,pain during bowel movement pain after bowel movement that can last several hour bright red blood the stool toilet paper after bowel movement visible crack the skin around the anus small lump skin tag the skin near the anal fissure symptom anal fissure include
76,Anal fistula,opening the skin around the anusa red inflame area around the tunnel openingoozing pu blood stool from the tunnel openingpain the rectum and anus especially when sit passing stoolfeversymptoms anal fistula can include
77,Anal itching,anal itch severe constantyou have anal bleeding stool leakagethe anal area seem infectedyou can figure out what cause constant itchsymptoms anal itch may include intense itch inflammation burning and soreness the itch and irritation may short live more persistent depend the cause anal itch often bad bedtime hot humid weather
78,Anemia,tiredness weakness shortness breath pale yellowish skin which might more obvious white skin than black brown skin irregular heartbeat dizziness lightheadedness chest pain cold hand and foot headache anemia symptom depend the cause and how bad the anemia anemia can mild that cause symptom first but symptom usually then occur and get bad the anemia get bad
80,Brain aneurysm,nausea and vomitingstiff neckblurred double visionsensitivity lightseizurea droop eyelidloss consciousnessconfusionmost brain aneurysm that haven rupture don cause symptom this especially true they small brain aneurysm may found during image test that be do for other condition
82,Popliteal artery aneurysm,knee painlower leg painswelling behind the kneepulsing sensation behind the kneea popliteal artery aneurysm may not cause any noticeable symptom the first symptom may pain the low leg that occurs with walk claudication other sign and symptom popliteal artery aneurysm include
83,Thoracic aortic aneurysm,back pain cough weak scratchy voice shortness breath tenderness pain the chest thoracic aortic aneurysm often grow slowly there be usually symptom make them difficult detect many start small and stay small others grow big over time how quickly thoracic aortic aneurysm may grow difficult predict
84,Angelman syndrome,developmental delay include crawl babbling monthsintellectual disabilityno speech minimal speechdifficulty walk move balance wellfrequent smile and laughterhappy excitable personalitysucking feed difficultytrouble go sleep and stay asleepangelman syndrome sign and symptom include
85,Vasculitis,feverheadachefatigueweight lossgeneral ache and painsgeneral sign and symptom most type vasculitis include
86,Angina,burningfullnesspressuresqueezinga heart attack occurs when artery supply the heart with blood and oxygen becomes block fatty deposit build over time form plaque the heart artery plaque rupture blood clot can form and block the artery cause heart attack during heart attack tissue the heart muscle dy due lack blood flow through the heart artery
88,Hives and angioedema,skin color reddish white skin purplish black and brown skinitchy range from mild intenseround oval worm shapedas small pea large dinner platethe welt associate with hive can
89,Castleman disease,fever unintended weight loss fatigue night sweat enlarge liver spleen many people with unicentric castleman disease don notice any sign symptom the enlarge lymph node may found during physical exam image test for some unrelated problem
90,Sprained ankle,pain especially when you bear weight the affected foottenderness when you touch the ankleswellingbruisingrestricted range motioninstability the anklepopping sensation sound the time injurysigns and symptom sprain ankle vary depend the severity the injury they may include
91,Tongue-tie (ankyloglossia),difficulty lift the tongue the upper teeth move the tongue from side sidetrouble stick out the tongue past the low front teetha tongue that appear notch heart shape when stuck outsigns and symptom tongue tie include
92,Anorexia nervosa,extreme weight loss not make expect developmental weight gainsthin appearanceabnormal blood countsfatigueinsomniadizziness faintingbluish discoloration the fingershair that thins break fall outsoft downy hair cover the bodyabsence menstruationconstipation and abdominal paindry yellowish skinintolerance coldirregular heart rhythmslow blood pressuredehydrationswelling arm legseroded teeth and callus the knuckle from induced vomitingthe physical sign and symptom anorexia nervosa be related starvation anorexia also include emotional and behavioral issue involve unrealistic perception body weight and extremely strong fear gain weight become fat
94,Anorgasmia in women,delayed orgasmabsence orgasmfewer orgasmsless intense orgasmsan orgasm peak feel intense pleasure response stimulate sexual activity
96,Anterior vaginal prolapse (cystocele),feel fullness pressure your pelvis and vaginain some case bulge tissue your vagina that you can see feelincreased pelvic pressure when you strain cough bear down liftproblems urinate include difficulty start urine stream the feel that you haven completely empty your bladder after urinate feel frequent need urinate leak urine urinary incontinence mild case anterior prolapse you may not notice any sign symptom when sign and symptom occur they may include
98,Antisocial personality disorder,ignore right and wrong tell lie take advantage others not be sensitive respectful others use charm wit manipulate others for personal gain pleasure have sense superiority and be extremely opinionated have problem with the law include criminal behavior be hostile aggressive violent threaten others feel guilt about harm others do dangerous thing with regard for the safety self others be irresponsible and fail fulfill work financial responsibility symptom antisocial personality disorder include repeatedly
99,Generalized anxiety disorder,persistent worry anxiety about number area that be out proportion the impact the eventsoverthinking plan and solution all possible bad case outcomesperceiving situation and event threaten even when they aren tdifficulty handle uncertaintyindecisiveness and fear make the wrong decisioninability set aside let go worryinability relax feel restless and feel keyed edgedifficulty concentrate the feel that your mind go blank generalize anxiety disorder symptom can vary they may include
100,Social anxiety disorder (social phobia),fear situation which you may judged negativelyworry about embarrass humiliate yourselfintense fear interact talk with strangersfear that others will notice that you look anxiousfear physical symptom that may cause you embarrassment such blushing sweat tremble have shaky voiceavoidance do thing speak people out fear embarrassmentavoidance situation where you might the center attentionanxiety anticipation fear activity eventintense fear anxiety during social situationsanalysis your performance and identification flaw your interaction after social situationexpectation the bad possible consequence from negative experience during social situationfeelings shyness discomfort certain situation aren necessarily sign social anxiety disorder particularly child comfort level social situation vary depend personality trait and life experience some people be naturally reserve and others be more outgo
101,Anxiety disorders,feel nervous restless tensehaving sense impend danger panic doomhaving increase heart ratebreathing rapidly hyperventilation sweatingtremblingfeeling weak tiredtrouble concentrate think about anything other than the present worryhaving trouble sleepingexperiencing gastrointestinal gi problemshaving difficulty control worryhaving the urge avoid thing that trigger anxietycommon anxiety sign and symptom include
103,Aortic valve disease,whoosh swish heart sound heart murmur chest pain tightnessdizzinessfaintingfatigue after activity have less ability activeirregular heartbeatshortness breath particularly during vigorous activity when lie downnot eat enough mainly child with aortic valve stenosis not gain enough weight mainly child with aortic valve stenosis some people with aortic valve disease may not notice symptom for many year sign and symptom aortic valve disease may include
104,Aortic valve regurgitation,shortness breath with exercise when you lie downfatigue and weakness especially when you increase your activity levelheart murmurirregular pulse arrhythmia lightheadedness faintingchest pain angina discomfort tightness often increase during exercisesensations rapid flutter heartbeat palpitation swollen ankle and feetmost often aortic valve regurgitation develops gradually you may have sign symptom for year you may unaware that you have the condition however sometimes aortic valve regurgitation occurs suddenly usually result infection the valve
105,Aortic valve stenosis,irregular heart sound heart murmur heard through stethoscopechest pain angina tightness with activityfeeling faint dizzy fainting with activityshortness breath especially with activityfatigue especially during time increase activityrapid flutter heartbeat palpitation not eat enough mainly child with aortic valve stenosis not gain enough weight mainly child with aortic valve stenosis aortic valve stenosis range from mild severe symptom generally occur when narrow the valve severe some people with aortic valve stenosis may not have symptom for many year
106,Primary progressive aphasia,trouble understand spoken write language particularly single word trouble understand the meaning word not be able name object trouble formulate sentence primary progressive aphasia symptom vary base which part the brain language area be involve the condition have three type each type cause different symptom symptom develop over time and gradually get bad
107,Canker sore,be usually smallare oval shape with red edgeheal without scar one two weeksmost canker sore be round oval with white yellow center and red border they form inside your mouth under your tongue inside your cheek lip the base your gum your soft palate you might notice tingle burning sensation day two before the sore actually appear
109,Broken heart syndrome,chest pain shortness breath symptom broken heart syndrome can mimic heart attack symptom may include
110,Appendicitis,sudden pain that begin the right side the low abdomensudden pain that begin around your navel and often shift your low right abdomenpain that worsens you cough walk make other jarring movementsnausea and vomitingloss appetitelow grade fever that may worsen the illness progressesconstipation diarrheaabdominal bloatingflatulencesigns and symptom appendicitis may include
112,Viral hemorrhagic fevers,feverfatigue weakness general feel be unwelldizzinessmuscle bone joint achesnausea and vomitingdiarrheasigns and symptom viral hemorrhagic fever vary disease general early sign and symptom can include
114,Broken arm,severe pain which might increase with movementswellingbruisingdeformity such bent arm wristinability turn your arm from palm palm down vice versaa snap crack sound might your first indication you broken arm sign and symptom include
115,Chiari malformation,type type many people with chiari malformation have sign symptom and don need treatment their condition detect only when test be perform for unrelated disorder however depend the type and severity chiari malformation can cause number problem
116,Heart arrhythmia,flutter the chesta race heartbeat tachycardia slow heartbeat bradycardia chest painshortness breathheart arrhythmia may not cause any sign symptom doctor may notice the irregular heartbeat when examine you for another health reason
117,Arteriosclerosis / atherosclerosis,you have atherosclerosis your heart artery you may have chest pain pressure angina you have atherosclerosis the artery lead your brain you may have sudden numbness weakness your arm leg difficulty speak slur speech temporary loss vision one eye droop muscle your face these signal transient ischemic attack tia untreated atiacan lead stroke you have atherosclerosis the artery your arm and leg you may have symptom peripheral artery disease such leg pain when walk claudication decrease blood pressure affected limb you have atherosclerosis the artery lead your kidney you may develop high blood pressure kidney failure mild atherosclerosis usually doesn have any symptom
118,Arteriovenous malformation,progressive loss neurological functionheadachesnausea and vomitingseizuresloss consciousnesssymptoms avm vary base where found often the first symptom appear after bleeding occurs besides bleeding symptom can include
119,Giant cell arteritis,persistent severe head pain usually your temple areascalp tendernessjaw pain when you chew open your mouth widefeverfatigueunintended weight lossvision loss double vision particularly people who also have jaw painsudden permanent loss vision one eyegiant cell arteritis cause inflammation certain artery especially those near the temple
120,Arthritis,painstiffnessswellingrednessdecreased range motionthe most common sign and symptom arthritis involve the joint depend the type arthritis sign and symptom may include
121,Thumb arthritis,swell stiffness and tenderness the base your thumbdecreased strength when pinch grasp objectsdecreased range motionenlarged bony appearance the joint the base your thumbpain the first and most common symptom thumb arthritis pain can occur the base your thumb when you grip grasp pinch object use your thumb apply force
122,Gout,intense joint pain gout usually affect the big toe but can occur any joint other commonly affected joint include the ankle knee elbow wrist and finger the pain likely most severe within the first four hour after begin linger discomfort after the most severe pain subsides some joint discomfort may last from few day few week later attack be likely last longer and affect more joint inflammation and redness the affected joint joint become swollen tender warm and red limited range motion gout progress you may not able move your joint normally gout cause intense pain and swell around one more joint gout most commonly affect the joint the base the big toe
123,Juvenile idiopathic arthritis,pain while your child might not complain joint pain you may notice that she limp especially first thing the morning after nap swell joint swell common but often first notice large joint such the knee stiffness you might notice that your child appear clumsier than usual particularly the morning after nap fever swollen lymph node and rash some case high fever swollen lymph node rash the trunk may occur which usually bad the evening the most common sign and symptom juvenile idiopathic arthritis be
124,Rheumatoid arthritis,tender warm swollen jointsjoint stiffness that usually bad the morning and after inactivityfatigue fever and loss appetitesigns and symptom rheumatoid arthritis may include
126,Atrial septal defect (ASD),shortness breath especially when exercisingfatigueswelling leg foot belly abdomen irregular heartbeat arrhythmia sensation rapid pound heartbeat palpitation skip beatswhooshing sound that can heard through stethoscope heart murmur many baby born with atrial septal defect have sign symptom sign symptom can begin adulthood
127,Asthma,shortness breathchest tightness painwheezing when exhale which common sign asthma childrentrouble sleep cause shortness breath cough wheezingcoughing wheeze attack that be worsen respiratory virus such cold the fluasthma symptom vary from person person you may have infrequent asthma attack have symptom only certain time such when exercise have symptom all the time
128,Asthma attack,severe shortness breath chest tightness pain and cough wheezinglow peak expiratory flow pef reading you use peak flow metersymptoms that fail respond use quick act rescue inhalerasthma attack sign and symptom include
129,Occupational asthma,wheeze sometimes just nightcoughingshortness breathchest tightnessif you have asthma the inside wall the airway your lung can become inflame and swollen addition membrane your airway lining may secrete excess mucus the result asthma attack during asthma attack your narrow airway make harder breathe and you may cough and wheeze
130,Ataxia,poor coordinationwalking unsteadily with the foot set wide apartpoor balancedifficulty with fine motor task such eat write buttoning shirtchange speechinvoluntary back and forth eye movement nystagmus difficulty swallowingataxia can develop over time come suddenly ataxia sign several neurological disorder and can cause
131,Atelectasis,difficulty breathingrapid shallow breathingwheezingcoughthere may obvious sign symptom atelectasis you have sign and symptom they may include
133,Athlete's foot,scaly peel crack skin between the toesitchiness especially right after take off shoe and socksinflamed skin that might appear reddish purplish grayish depend your skin colorburning stingingblistersdry scaly skin the bottom the foot that extends the sideathlete foot fungal infection that cause scaly rash that may itch sting burn
134,Atopic dermatitis (eczema),dry crack skinitchiness pruritus rash swollen skin that varies color depend your skin colorsmall raise bump brown black skinoozing and crustingthickened skindarkening the skin around the eyesraw sensitive skin from scratchinginflammation cause atopic dermatitis can cover large area the body such the chest limited few small spot
