Disease,Description
Food allergy,"Food allergy is an immune system reaction that occurs soon after eating a certain food. Even a tiny amount of the allergy-causing food can trigger signs and symptoms such as digestive problems, hives or swollen airways. In some people, a food allergy can cause severe symptoms or even a life-threatening reaction known as anaphylaxis."
Latex allergy,"Latex allergy is a reaction to certain proteins found in natural rubber latex, a product made from the rubber tree. If you have a latex allergy, your body mistakes latex for a harmful substance."
Peanut allergy,"Peanut allergy is one of the most common causes of severe allergy attacks. For some people with peanut allergy, even tiny amounts of peanuts can cause a serious reaction that can even be life-threatening (anaphylaxis)."
Shellfish allergy,"Shellfish allergy is an atypical response by the body's immune system to proteins in certain marine animals. Marine animals in the shellfish category include crustaceans and mollusks. Examples are shrimp, crabs, lobster, squid, oysters, scallops and snails."
Hair loss,"Hair loss (alopecia) can affect just your scalp or your entire body, and it can be temporary or permanent. It can be the result of heredity, hormonal changes, medical conditions or a normal part of aging. Anyone can lose hair on their head, but it's more common in men."
Alpha-gal syndrome,Alpha-gal syndrome is a type of food allergy. It makes people allergic to red meat and other products made from mammals.
Amyotrophic lateral sclerosis (ALS),"Amyotrophic lateral sclerosis (a-my-o-TROE-fik LAT-ur-ul skluh-ROE-sis), known as ALS, is a nervous system disease that affects nerve cells in the brain and spinal cord. ALS causes loss of muscle control. The disease gets worse over time."
Dry socket,"Dry socket is a painful dental condition that sometimes happens after you have a tooth removed. Having a tooth removed is called an extraction. Dry socket happens when a blood clot at the site where the tooth was removed does not form, comes out or dissolves before the wound has healed."
Alzheimer's disease,"Alzheimer's disease is a brain disorder that gets worse over time. It's characterized by changes in the brain that lead to deposits of certain proteins. Alzheimer's disease causes the brain to shrink and brain cells to eventually die. Alzheimer's disease is the most common cause of dementia — a gradual decline in memory, thinking, behavior and social skills. These changes affect a person's ability to function."
Ambiguous genitalia,"Ambiguous genitalia is a rare condition in which an infant's external genitals don't appear to be clearly either male or female. In a baby with ambiguous genitalia, the genitals may be incompletely developed or the baby may have characteristics of both sexes. The external sex organs may not match the internal sex organs or genetic sex."
Ameloblastoma,"Ameloblastoma is a rare, noncancerous (benign) tumor that develops most often in the jaw near the molars. Ameloblastoma begins in the cells that form the protective enamel lining on your teeth."
Amenorrhea,"Amenorrhea (uh-men-o-REE-uh) is the absence of menstruation, often defined as missing one or more menstrual periods."
Amnesia,"Amnesia refers to the loss of memories, including facts, information and experiences. Movies and television tend to depict amnesia as forgetting your identity, but that's not generally the case in real life."
Ampullary cancer,The ampulla of Vater is located where your bile duct and pancreatic duct join and empty into your small intestine.
Amyloidosis,Amyloidosis (am-uh-loi-DO-sis) is a rare disease that occurs when a protein called amyloid builds up in organs. This amyloid buildup can make the organs not work properly.
Anal cancer,"The anal canal is a tube at the end of your rectum that measures 1 1/2 inches in length (about 4 centimeters). Muscles (anal sphincters) that surround the anal canal relax to allow waste to leave your body.
"
Anal fissure,"An anal fissure is a small tear in the thin, moist tissue that lines the anus. The anus is the muscular opening at the end of the digestive tract where stool exits the body. Common causes of an anal fissure include constipation and straining or passing hard or large stools during a bowel movement. Anal fissures typically cause pain and bleeding with bowel movements. You also may experience spasms in the ring of muscle at the end of your anus, called the anal sphincter."
Anal fistula,An anal fistula — also called fistula-in-ano — is a tunnel that develops between the inside of the anus and the outside skin around the anus. The anus is the muscular opening at the end of the digestive tract where stool exits the body.
Anal itching,Anal itching is a common condition. The itch in or around the anus is often intense and can be embarrassing and uncomfortable.
Anemia,"Anemia is a problem of not having enough healthy red blood cells or hemoglobin to carry oxygen to the body's tissues. Hemoglobin is a protein found in red cells that carries oxygen from the lungs to all other organs in the body. Having anemia can cause tiredness, weakness and shortness of breath."
Aortic aneurysm,"An aortic aneurysm occurs when a weak spot in the wall of the aorta begins to bulge, as shown in the image on the left. An aneurysm can occur anywhere in the aorta. Having an aortic aneurysm increases the risk of a tear in the aortic lining, called a dissection. It is shown in the image on the right."
Brain aneurysm,An aneurysm is a ballooning at a weak spot in an artery wall. An aneurysm's walls can be thin enough to rupture. The illustration shows an individual with an unruptured aneurysm. The inset shows what happens when the aneurysm ruptures.
Popliteal artery aneurysm,A popliteal artery aneurysm is an irregular bulge that occurs in the wall of the artery located behind the knee joint. It is a type of lower extremity aneurysm.
Thoracic aortic aneurysm,A thoracic aortic aneurysm is a weakened area in the upper part of the aorta — the major blood vessel that feeds blood to the body. Aneurysms can develop anywhere in the aorta.
Aneurysms,An aneurysm is an abnormal bulge or ballooning in the wall of a blood vessel. An aneurysm can burst. This is called a rupture. A ruptured aneurysm causes bleeding inside the body and often leads to death. Some aneurysms may not cause symptoms. You might not know you have an aneurysm even if it is large.
Angelman syndrome,"Angelman syndrome is a genetic disorder. It causes delayed development, problems with speech and balance, intellectual disability, and, sometimes, seizures."
Vasculitis,"Vasculitis involves inflammation of the blood vessels. The inflammation can cause the walls of the blood vessels to thicken, which reduces the width of the passageway through the vessel. If blood flow is restricted, it can result in organ and tissue damage."
Angina,Angina (an-JIE-nuh or AN-juh-nuh) is a type of chest pain caused by reduced blood flow to the heart. Angina is a symptom of coronary artery disease.
Hives and angioedema,"Illustration of hives on different skin colors. Hives can cause swollen, itchy welts. Hives is also called urticaria."
Castleman disease,"Castleman disease is a rare disorder that involves an overgrowth of cells in your body's lymph nodes. The most common form of the disorder affects a single lymph node, usually in the chest or abdomen. This form is called unicentric Castleman disease."
Sprained ankle,"A sprained ankle is an injury that occurs when you roll, twist or turn your ankle in an awkward way. This can stretch or tear the tough bands of tissue (ligaments) that help hold your ankle bones together."
Tongue-tie (ankyloglossia),"Tongue-tie (ankyloglossia) is a condition in which an unusually short, thick or tight band of tissue (lingual frenulum) tethers the bottom of the tongue's tip to the floor of the mouth. If necessary, tongue-tie can be treated with a surgical cut to release the frenulum (frenotomy). If additional repair is needed or the lingual frenulum is too thick for a frenotomy, a more extensive procedure known as a frenuloplasty might be an option."
Anorexia nervosa,"Anorexia (an-o-REK-see-uh) nervosa — often simply called anorexia — is an eating disorder characterized by an abnormally low body weight, an intense fear of gaining weight and a distorted perception of weight. People with anorexia place a high value on controlling their weight and shape, using extreme efforts that tend to significantly interfere with their lives."
Anorgasmia in women,"Anorgasmia is delayed, infrequent or absent orgasms — or significantly less-intense orgasms — after sexual arousal and adequate sexual stimulation. Women who have problems with orgasms and who feel significant distress about those problems may be diagnosed with anorgasmia."
Anterior vaginal prolapse (cystocele),A dropped or prolapsed bladder (cystocele) occurs when the bladder bulges into the vaginal space. It results when the muscles and tissues that support the bladder give way.
Antisocial personality disorder,"Antisocial personality disorder, sometimes called sociopathy, is a mental health condition in which a person consistently shows no regard for right and wrong and ignores the rights and feelings of others. People with antisocial personality disorder tend to purposely make others angry or upset and manipulate or treat others harshly or with cruel indifference. They lack remorse or do not regret their behavior."
Generalized anxiety disorder,"It's normal to feel anxious from time to time, especially if your life is stressful. However, excessive, ongoing anxiety and worry that are difficult to control and interfere with day-to-day activities may be a sign of generalized anxiety disorder."
Social anxiety disorder (social phobia),"It's normal to feel nervous in some social situations. For example, going on a date or giving a presentation may cause that feeling of butterflies in your stomach. But in social anxiety disorder, also called social phobia, everyday interactions cause significant anxiety, self-consciousness and embarrassment because you fear being scrutinized or judged negatively by others."
Anxiety disorders,"Experiencing occasional anxiety is a normal part of life. However, people with anxiety disorders frequently have intense, excessive and persistent worry and fear about everyday situations. Often, anxiety disorders involve repeated episodes of sudden feelings of intense anxiety and fear or terror that reach a peak within minutes (panic attacks)."
Aortic valve disease,"Aortic valve stenosis causes a thickening and narrowing of the valve between the heart's main pumping chamber (left ventricle) and the body's main artery (aorta). The narrowing creates a smaller opening for blood to pass through. Blood flow from the heart to the rest of the body is reduced or blocked. Typically, the aortic valve has three cusps (tricuspid aortic valve), but some people are born with an aortic valve that has two cusps (bicuspid aortic valve)."
Aortic valve regurgitation,"In aortic valve regurgitation, the aortic valve doesn't close properly, causing blood to flow backward from the body's main artery (aorta) into the lower left heart chamber (left ventricle)."
Aortic valve stenosis,Aortic valve stenosis — or aortic stenosis — is a type of heart valve disease (valvular heart disease). The valve between the lower left heart chamber and the body's main artery (aorta) is narrowed and doesn't open fully. This reduces or blocks blood flow from the heart to the aorta and to the rest of the body.
Primary progressive aphasia,Different areas of the brain are responsible for different vital functions.
Canker sore,"Canker sores occur singly or in clusters on the inside surfaces of your cheeks or lips, on or under your tongue, at the base of your gums, or on your soft palate. They usually have a white or yellow center and a red border and can be extremely painful."
Broken heart syndrome,Broken heart syndrome is a heart condition that's often brought on by stressful situations and extreme emotions. The condition also can be triggered by a serious physical illness or surgery. Broken heart syndrome is often a temporary condition. But some people may continue to feel unwell after the heart is healed.
Appendicitis,"The appendix is a narrow, finger-shaped pouch that projects out from the colon. Appendicitis occurs when the appendix becomes inflamed and filled with pus."
Viral hemorrhagic fevers,"Viral hemorrhagic (hem-uh-RAJ-ik) fevers are infectious diseases that can cause severe, life-threatening illness. They can damage the walls of tiny blood vessels, making them leak, and can hamper the blood's ability to clot. The resulting internal bleeding is usually not life-threatening, but the diseases can be."
Broken arm,"Your arm is made up of three bones: the upper arm bone (humerus) and two forearm bones (the ulna and the radius). The term ""broken arm"" may refer to a fracture in any of these bones."
Chiari malformation,"In Chiari malformation surgery, doctors remove a small section of bone at the back of your skull to make room for part of your brain (cerebellum) and relieve pressure on your brainstem, cerebellum and spinal cord."
Heart arrhythmia,"In a typical heart rhythm, a tiny cluster of cells at the sinus node sends out an electrical signal. The signal then travels through the atria to the atrioventricular (AV) node and into the ventricles, causing them to contract and pump blood."
Arteriosclerosis / atherosclerosis,"Arteriosclerosis and atherosclerosis are sometimes used to mean the same thing, but there's a difference between the two terms."
Arteriovenous malformation,"In an arteriovenous malformation (AVM), blood passes quickly from an artery to a vein, disrupting the usual blood flow and depriving the surrounding tissues of oxygen."
Giant cell arteritis,"Giant cell arteritis is an inflammation of the lining of your arteries. Most often, it affects the arteries in your head, especially those in your temples. For this reason, giant cell arteritis is sometimes called temporal arteritis."
Arthritis,"Osteoarthritis, the most common form of arthritis, involves the wearing away of the cartilage that caps the bones in your joints. Rheumatoid arthritis is a disease in which the immune system attacks the joints, beginning with the lining of joints."
Thumb arthritis,Thumb arthritis occurs when the cartilage in the carpometacarpal (CMC) joint wears away.
Gout,"Gout is a common and complex form of arthritis that can affect anyone. It's characterized by sudden, severe attacks of pain, swelling, redness and tenderness in one or more joints, most often in the big toe."
Juvenile idiopathic arthritis,"Juvenile idiopathic arthritis, formerly known as juvenile rheumatoid arthritis, is the most common type of arthritis in children under the age of 16."
Rheumatoid arthritis,"Rheumatoid arthritis can cause pain, swelling and deformity. As the tissue that lines your joints (synovial membrane) becomes inflamed and thickened, fluid builds up and joints erode and degrade."
Atrial septal defect (ASD),An atrial septal defect (ASD) is a hole in the heart between the upper chambers (atria). The hole increases the amount of blood that flows through the lungs. The condition is present at birth (congenital heart defect).
Asthma,"If you have asthma, the inside walls of the airways in your lungs can become inflamed and swollen. In addition, membranes in your airway linings may secrete excess mucus. The result is an asthma attack. During an asthma attack, your narrowed airways make it harder to breathe, and you may cough and wheeze."
Asthma attack,"During an asthma attack, also called an asthma exacerbation, the airways become swollen and inflamed. The muscles around the airways contract and the airways produce extra mucus, causing the breathing (bronchial) tubes to narrow."
Occupational asthma,"Asthma is a condition in which your airways narrow and swell and may produce extra mucus. Occupational asthma is a type of asthma. It occurs when you breathe in chemical fumes, gases, dust or other substances on the job. When that happens, it causes an allergic or immunological response."
Astrocytoma,
Atrial tachycardia,
Ataxia,Persistent ataxia usually results from damage to the part of your brain that controls muscle coordination (cerebellum).
Atelectasis,Atelectasis (at-uh-LEK-tuh-sis) is a complete or partial collapse of the entire lung or area (lobe) of the lung. It occurs when the tiny air sacs (alveoli) within the lung become deflated or possibly filled with alveolar fluid.
Athlete's foot,Athlete's foot (tinea pedis) is a fungal skin infection that usually begins between the toes. It commonly occurs in people whose feet have become very sweaty while confined within tight-fitting shoes.
Atopic dermatitis (eczema),"Atopic dermatitis can cause a very itchy rash. Atopic dermatitis most often occurs where the skin flexes — inside the elbows, behind the knees and in front of the neck."
Atrial flutter,Atrial flutter is a type of heart rhythm disorder in which the heart's upper chambers (atria) beat too quickly.
Atrioventricular nodal reentry tachycardia (AVNRT),
Atypical hyperplasia of the breast,"Each breast contains 15 to 20 lobes of glandular tissue, arranged like the petals of a daisy. The lobes are further divided into smaller lobules that produce milk for breastfeeding. Small tubes (ducts) conduct the milk to a reservoir that lies just beneath your nipple."
Autism spectrum disorder,"Autism spectrum disorder is a condition related to brain development that impacts how a person perceives and socializes with others, causing problems in social interaction and communication. The disorder also includes limited and repetitive patterns of behavior. The term ""spectrum"" in autism spectrum disorder refers to the wide range of symptoms and severity."
Autoimmune hepatitis,"Autoimmune hepatitis is liver inflammation that occurs when your body's immune system turns against liver cells. The exact cause of autoimmune hepatitis is unclear, but genetic and enviromental factors appear to interact over time in triggering the disease."
Autoimmune pancreatitis,"Autoimmune pancreatitis (AIP) is a chronic inflammation that is thought to be caused by the body's immune system attacking the pancreas and that responds to steroid therapy. Two subtypes of AIP are now recognized, type 1 and type 2."
Back pain,Back pain is one of the most common reasons people seek medical help or miss work. Back pain is a leading cause of disability worldwide.
Bacterial vaginosis,"Bacterial vaginosis (BV) can cause discomfort and pain of the vagina. It happens when natural bacteria levels are out of balance. Balanced levels of bacteria help keep the vagina healthy. But when too much of some bacteria grow, it can lead to BV."
Bad breath,"The microscopic uneven surface of the tongue can trap bacteria that produce odors, contributing to bad breath.
"
Bags under eyes,"Bags under eyes are mild swelling or puffiness under the eyes. They're common as you age and the tissues around your eyes weaken, including some of the muscles supporting your eyelids. Fat that helps support the eyes can then move into the lower eyelids, causing them to appear puffy. Fluid may also accumulate below your eyes."
Baker cyst,Swelling on the back of one knee may be a Baker cyst. This can form when joint-lubricating fluid fills a cushioning pouch (bursa) at the back of the knee.
Balance problems,"Balance problems can make you feel dizzy, as if the room is spinning, unsteady, or lightheaded. You might feel as if the room is spinning or you're going to fall down. These feelings can happen whether you're lying down, sitting or standing."
Barrett's esophagus,"In Barrett's esophagus, normally flat, pink cells are replaced with a thick, red lining with potential for cancerous changes, thought to be triggered by long-standing gastroesophageal reflux disease (GERD)."
Body dysmorphic disorder,"Body dysmorphic disorder is a mental health condition in which you can't stop thinking about one or more perceived defects or flaws in your appearance — a flaw that appears minor or can't be seen by others. But you may feel so embarrassed, ashamed and anxious that you may avoid many social situations."
Bedbugs,"Bedbugs are reddish brown, oval and flat, and about the size of an apple seed. During the day, they hide in the cracks and crevices of beds, box springs, headboards and bed frames."
Bedsores (pressure ulcers),Relieve pressure on an area that is showing signs of being stressed.
Bed-wetting,Bed-wetting — also called nighttime incontinence or nocturnal enuresis — is involuntary urination while asleep after the age at which staying dry at night can be reasonably expected.
Bee sting,"Bee stings are a common outdoor nuisance. In most cases, bee stings are just annoying, and home treatment is all that's necessary to ease the pain. But if you're allergic to bee stings or you get stung numerous times, you may have a more-serious reaction that requires emergency treatment."
Behcet's disease,"Behcet's (beh-CHETS) disease, also called Behcet's syndrome, is a rare disorder that causes blood vessel inflammation throughout your body."
Bell's palsy,"Bell's palsy is a condition that causes sudden weakness in the muscles on one side of the face. In most cases, the weakness is temporary and significantly improves over weeks. The weakness makes half of the face appear to droop. Smiles are one-sided, and the eye on the affected side resists closing."
Geographic tongue,"Geographic tongue results from the loss of tiny hairlike projections (papillae) on your tongue's surface. This papillae loss appears as smooth, red patches of varying shapes and sizes. "
Benign paroxysmal positional vertigo (BPPV),Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning.
Benign peripheral nerve tumor,"Your peripheral nerves link your brain and spinal cord to other parts of your body. These nerves control your muscles so that you can walk, blink, swallow, pick things up and do other activities."
Benign prostatic hyperplasia (BPH),Benign prostatic hyperplasia (BPH) is a health issue that becomes more common with age. It's also called an enlarged prostate. The prostate is a small gland that helps make semen. It's found just below the bladder. And it often gets bigger as you get older.
IgA nephropathy (Berger disease),"IgA nephropathy (nuh-FROP-uh-thee), also known as Berger disease, is a kidney disease. It happens when a germ-fighting protein called immunoglobulin A (IgA) builds up in the kidneys. This causes a type of swelling called inflammation that, over time, can make it harder for the kidneys to filter waste from the blood."
Bicuspid aortic valve,
Cholangiocarcinoma (bile duct cancer),"The gallbladder serves as a reservoir for a yellow-green fluid produced in the liver, called bile. Bile flows from the liver into the gallbladder, where it's held until needed during the digestion of food. When you eat, the gallbladder releases bile into the bile duct. It's then carried to the upper part of the small intestine, called the duodenum, to help break down fat in food."
Binge-eating disorder,Binge-eating disorder is a serious eating disorder in which you frequently consume unusually large amounts of food and feel unable to stop eating.
Bipolar disorder,"Bipolar disorder, formerly called manic depression, is a mental health condition that causes extreme mood swings that include emotional highs (mania or hypomania) and lows (depression)."
Black hairy tongue,"Black hairy tongue is caused by an overgrowth of dead skin cells, causing lengthening of the papillae, and staining from bacteria, yeast, food, tobacco or other substances in the mouth."
Bladder cancer,"Learn more about bladder cancer from urologist Mark Tyson, M.D., M.P.H."
Urinary incontinence,Urinary incontinence — the loss of bladder control — is a common and often embarrassing problem. The severity ranges from occasionally leaking urine when you cough or sneeze to having an urge to urinate that's so sudden and strong you don't get to a toilet in time.
Bladder exstrophy,"In girls born with bladder exstrophy, the bladder is on the outside of the body and the vagina is not fully formed. Surgeons will close the bladder (top right) and then close the abdomen and skin (bottom right)."
Cystitis,Cystitis (sis-TIE-tis) is the medical term for inflammation of the bladder. Inflammation is when a part of your body is swollen and hot. It can also be painful.
Ureteral obstruction,"Your urinary system includes the kidneys, ureters, bladder and urethra. The urinary system removes waste from the body through urine. The kidneys are located toward the back of the upper abdomen. They filter waste and fluid from the blood and produce urine. Urine moves from the kidneys through narrow tubes to the bladder. These tubes are called the ureters. The bladder stores urine until it's time to urinate. Urine leaves the body through another small tube called the urethra."
Blood in urine (hematuria),"It can be scary to see blood in urine, also called hematuria. In many cases, the cause is harmless. But blood in urine also can be a sign of a serious illness."
Burning mouth syndrome,"Burning mouth syndrome is the medical term for ongoing or recurring burning in the mouth without an obvious cause. You may feel this burning on your tongue, gums, lips, inside of your cheeks, roof of your mouth or large areas of your whole mouth. The feeling of burning can be severe, as if you injured your mouth with a very hot drink."
Bone cancer,"Bone cancer can begin in any bone in the body, but it most commonly affects the pelvis or the long bones in the arms and legs. Bone cancer is rare, making up less than 1 percent of all cancers. In fact, noncancerous bone tumors are much more common than cancerous ones."
Osteomyelitis,Osteomyelitis is an infection in a bone. Infections can reach a bone by traveling through the bloodstream or spreading from nearby tissue. Infections can also begin in the bone itself if an injury exposes the bone to germs.
Bone spurs,Bone spurs are bony projections that develop along bone edges. Bone spurs (osteophytes) often form where bones meet each other — in your joints. They can also form on the bones of your spine.
Borderline personality disorder,"Borderline personality disorder is a mental health disorder that impacts the way you think and feel about yourself and others, causing problems functioning in everyday life. It includes self-image issues, difficulty managing emotions and behavior, and a pattern of unstable relationships."
