,Disease,combined_symptoms
25,Alcohol use disorder,be unable limit the amount alcohol you drinkwanting cut down how much drink make unsuccessful attempt sospending lot time drinking get recover from usefeeling strong crave urge alcoholfailing fulfill major obligation work school home due repeat usecontinuing even though know cause physical social work relationship problemsgiving reduce social and activity hobby use alcoholusing situation where not safe such when drive swimmingdeveloping tolerance need more feel it effect have reduce same amountexperiencing withdrawal symptom nausea sweat shake don drink drinking avoid these symptomsalcohol disorder can mild moderate severe base number experience sign may include
26,Alcoholic hepatitis,loss appetitenausea and vomitingabdominal tendernessfever often low gradefatigue weaknessthe most common sign alcoholic hepatitis yellow the skin white eye jaundice vomit yellowish abdominal pain swell stomach distention abdomen history alcohol consumption fluid overload
27,Allergies,sneezingitching the nose eye roof mouthrunny stuffy nosewatery red swollen conjunctivitis allergy symptom which depend substance involve can affect your airway sinus and nasal passage skin digestive system allergic reaction range from mild severe some severe case allergy trigger life threaten reaction know anaphylaxis
28,Allergy,continuous sneeze shiver chill water from eye
29,Alpha-gal syndrome,red meat such beef pork lamb organ meat product make from mammal gelatin dairy product the symptom alpha gal allergic reaction usually take longer start compare with those other food allergy most reaction common allergen peanut shellfish for example happen within minute after you be expose them syndrome appear about hour expose food that can cause include
30,Alzheimer's disease,repeat statement and question over over forget conversation appointment event misplace item often put them place that don make sense get lose they use know well eventually forget the name family member everyday object have trouble find right word for object express thought take part conversation memory loss key symptom alzheimer disease early sign include difficulty remember recent event conversation but memory get bad other symptom develop disease progress
31,Ambiguous genitalia,enlarge clitoris which may resemble penisclosed labium labium that include fold and scrotumlumps feel like testis the fuse labiayour medical team will likely first recognize ambiguous genitalia soon after your baby born occasionally suspect before birth prenatally characteristic can vary severity depend when during genital development problem occur cause disorder
32,Ameloblastoma,conventional ameloblastoma this the most common type and grows aggressively usually low jawbone approximately recur after treatment unicystic less aggressive but typically occurs young age the tumor often back jawbone molar recurrence possible treatment peripheral rare affect gum oral tissue upper jaw have low risk recurrence treatment metastasize very define cell that occur away from primary site jaw ameloblastoma cause symptom sign symptom may include pain lump swell
33,Amenorrhea,milky nipple dischargehair lossheadachevision changesexcess facial hairpelvic painacnedepending the cause amenorrhea you might experience other sign symptom along with absence period such
34,Amnesia,trouble learn new information trouble remember past event and previously familiar information the two main feature amnesia be
35,Ampullary cancer,yellow the skin and eye jaundice clay color stoolsabdominal painfeverbleeding from rectumnauseavomitingweight losssigns symptom ampullary cancer may include
36,Amyloidosis,severe fatigue and weaknessshortness breathnumbness tingle pain the hand feetswelling ankle legsdiarrhea possibly with blood constipationan enlarge tongue which sometimes look ripple around it edgeskin change such thicken easy bruising purplish patch eyessome people amyloidosis experience purpura condition small blood vessel leak into skin this most commonly occurs eye but can also affect other part body
37,Amyotrophic lateral sclerosis (ALS),trouble walk do usual daily activity trip and fall weakness the leg foot ankle hand weakness clumsiness slur speech trouble swallow weakness associate with muscle cramp twitch arm shoulder tongue untimely cry laugh yawn think behavioral change symptom al vary from person person symptom depend which nerve cell be affected generally begin that spread get bad over time might include
38,Anal cancer,bleeding from the anus rectumpain area anusa mass growth anal canalanal itchinganal cancer sign and symptom include
39,Anal fissure,pain during bowel movement pain after movement that can last several hour bright red blood the stool toilet paper movement visible crack skin around anus small lump tag near anal fissure symptom fissure include
40,Anal fistula,opening the skin around anusa red inflame area tunnel openingoozing pu blood stool from openingpain rectum and anus especially when sit passing stoolfeversymptoms anal fistula can include
41,Anal itching,anal itch severe constantyou have anal bleeding stool leakagethe area seem infectedyou can figure out what cause constant itchsymptoms may include intense itch inflammation burning and soreness the irritation short live more persistent depend the cause often bad bedtime hot humid weather
42,Anemia,tiredness weakness shortness breath pale yellowish skin which might more obvious white skin than black brown skin irregular heartbeat dizziness lightheadedness chest pain cold hand and foot headache anemia symptom depend the cause how bad anemia anemia can mild that cause first but usually then occur get bad get bad
43,Angelman syndrome,developmental delay include crawl babbling monthsintellectual disabilityno speech minimal speechdifficulty walk move balance wellfrequent smile and laughterhappy excitable personalitysucking feed difficultytrouble go sleep stay asleepangelman syndrome sign symptom include
44,Angina,burningfullnesspressuresqueezinga heart attack occurs when artery supply the with blood and oxygen becomes block fatty deposit build over time form plaque heart artery plaque rupture clot can form block artery cause attack during attack tissue muscle dy due lack flow through
45,Anorexia nervosa,extreme weight loss not make expect developmental gainsthin appearanceabnormal blood countsfatigueinsomniadizziness faintingbluish discoloration the fingershair that thins break fall outsoft downy hair cover bodyabsence menstruationconstipation and abdominal paindry yellowish skinintolerance coldirregular heart rhythmslow pressuredehydrationswelling arm legseroded teeth callus knuckle from induced vomitingthe physical sign symptom anorexia nervosa be related starvation anorexia also include emotional behavioral issue involve unrealistic perception body extremely strong fear gain become fat
46,Anorgasmia in women,delayed orgasmabsence orgasmfewer orgasmsless intense orgasmsan orgasm peak feel intense pleasure response stimulate sexual activity
47,Anterior vaginal prolapse (cystocele),feel fullness pressure your pelvis and vaginain some case bulge tissue vagina that you can see feelincreased pelvic when strain cough bear down liftproblems urinate include difficulty start urine stream the haven completely empty bladder after frequent need urinate leak urinary incontinence mild case anterior prolapse may not notice any sign symptom when symptom occur they include
48,Antisocial personality disorder,ignore right and wrong tell lie take advantage others not be sensitive respectful others use charm wit manipulate others for personal gain pleasure have sense superiority extremely opinionated have problem with the law include criminal behavior be hostile aggressive violent threaten others feel guilt about harm others do dangerous thing regard safety self others be irresponsible fail fulfill work financial responsibility symptom antisocial personality disorder include repeatedly
49,Anxiety disorders,feel nervous restless tensehaving sense impend danger panic doomhaving increase heart ratebreathing rapidly hyperventilation sweatingtremblingfeeling weak tiredtrouble concentrate think about anything other than the present worryhaving trouble sleepingexperiencing gastrointestinal gi problemshaving difficulty control urge avoid thing that trigger anxietycommon anxiety sign and symptom include
50,Aortic valve disease,whoosh swish heart sound heart murmur chest pain tightnessdizzinessfaintingfatigue after activity have less ability activeirregular heartbeatshortness breath particularly during vigorous when lie downnot eat enough mainly child with aortic valve stenosis not gain weight stenosis some people disease may not notice symptom for many year sign and include
51,Aortic valve regurgitation,shortness breath with exercise when you lie downfatigue and weakness especially increase your activity levelheart murmurirregular pulse arrhythmia lightheadedness faintingchest pain angina discomfort tightness often increase during exercisesensations rapid flutter heartbeat palpitation swollen ankle feetmost often aortic valve regurgitation develops gradually you may have sign symptom for year unaware that the condition however sometimes occurs suddenly usually result infection valve
52,Aortic valve stenosis,irregular heart sound heart murmur heard through stethoscopechest pain angina tightness with activityfeeling faint dizzy fainting activityshortness breath especially activityfatigue during time increase activityrapid flutter heartbeat palpitation not eat enough mainly child aortic valve stenosis not gain weight stenosis aortic stenosis range from mild severe symptom generally occur when narrow the some people may not have symptom for many year
53,Appendicitis,sudden pain that begin the right side low abdomensudden around your navel and often shift abdomenpain worsens you cough walk make other jarring movementsnausea vomitingloss appetitelow grade fever may worsen illness progressesconstipation diarrheaabdominal bloatingflatulencesigns symptom appendicitis include
54,Arteriosclerosis / atherosclerosis,you have atherosclerosis your heart artery you may chest pain pressure angina the artery lead brain you sudden numbness weakness arm leg difficulty speak slur speech temporary loss vision one eye droop muscle face these signal transient ischemic attack tia untreated atiacan lead stroke and leg you symptom peripheral artery disease such leg when walk claudication decrease blood affected limb kidney you develop high kidney failure mild usually doesn any symptom
55,Arteriovenous malformation,progressive loss neurological functionheadachesnausea and vomitingseizuresloss consciousnesssymptoms avm vary base where found often the first symptom appear after bleeding occurs besides bleeding can include
56,Arthritis,painstiffnessswellingrednessdecreased range motionthe most common sign and symptom arthritis involve the joint depend type arthritis may include muscle weakness stiff neck swell joint movement stiffness painful walk
57,Asthma,shortness breathchest tightness painwheezing when exhale which common sign asthma childrentrouble sleep cause shortness breath cough wheezingcoughing wheeze attack that be worsen respiratory virus such cold the fluasthma symptom vary from person person you may have infrequent attack only certain time exercise all time
58,Asthma attack,severe shortness breath chest tightness pain and cough wheezinglow peak expiratory flow pef reading you use metersymptoms that fail respond quick act rescue inhalerasthma attack sign symptom include
59,Ataxia,poor coordinationwalking unsteadily with the foot set wide apartpoor balancedifficulty fine motor task such eat write buttoning shirtchange speechinvoluntary back and forth eye movement nystagmus difficulty swallowingataxia can develop over time come suddenly ataxia sign several neurological disorder and cause
60,Atelectasis,difficulty breathingrapid shallow breathingwheezingcoughthere may obvious sign symptom atelectasis you have and symptom they include
61,Athlete's foot,scaly peel crack skin between the toesitchiness especially right after take off shoe and socksinflamed that might appear reddish purplish grayish depend your colorburning stingingblistersdry scaly bottom foot extends sideathlete fungal infection cause rash may itch sting burn
62,Atopic dermatitis (eczema),dry crack skinitchiness pruritus rash swollen skin that varies color depend your colorsmall raise bump brown black skinoozing and crustingthickened skindarkening the around eyesraw sensitive from scratchinginflammation cause atopic dermatitis can cover large area body such chest limited few small spot
63,Atrial fibrillation,feeling fast flutter pound heartbeat call palpitation chest pain dizziness fatigue lightheadedness reduce ability exercise shortness breath weakness symptom afib may include
64,Atrial septal defect (ASD),shortness breath especially when exercisingfatigueswelling leg foot belly abdomen irregular heartbeat arrhythmia sensation rapid pound heartbeat palpitation skip beatswhooshing sound that can heard through stethoscope heart murmur many baby born with atrial septal defect have sign symptom sign symptom begin adulthood
65,Attention-deficit/hyperactivity disorder (ADHD) in children,predominantly inattentive the majority symptom fall under inattention predominantly hyperactive impulsive the be hyperactive and impulsive combine this mix inattentive hyperactive impulsive symptom the primary feature adhd include inattention hyperactive impulsive behavior start before age some child they noticeable early year age can mild moderate severe they may continue into adulthood
66,Atypical hyperplasia of the breast,atypical ductal hyperplasiadescribes abnormal cell within the breast duct atypical lobular lobule atypical hyperplasia usually doesn cause any specific symptom
67,Autism spectrum disorder,fails respond his her name appear not hear you timesresists cuddle and hold seem prefer play alone retreat into own worldhas poor eye contact lack facial expressiondoesn speak have delayed speech loses previous ability say word sentencescan start conversation keep one go only start make request label itemsspeaks with abnormal tone rhythm may use singsong voice robot like speechrepeats phrase verbatim but doesn understand how themdoesn appear simple question directionsdoesn express emotion feeling unaware others feelingsdoesn point bring object share interestinappropriately approach social interaction be passive aggressive disruptivehas difficulty recognize nonverbal cue such interpret other people expression body posture voicesome child show sign autism spectrum disorder early infancy reduce contact lack response their indifference caregiver other develop normally for the first few month year life then suddenly become withdrawn lose language skill they already acquire sign usually be see age year
68,Autoimmune hepatitis,fatigueabdominal discomfortyellowing the skin and white eye jaundice enlarge liverabnormal blood vessel spider angioma skin rashesjoint painsloss menstrual periodssigns symptom autoimmune hepatitis vary from person may come suddenly some people have few any recognize problem early stage disease whereas others experience sign that include
69,Autoimmune pancreatitis,dark urinepale stool that float the toiletyellow skin and eye jaundice pain your upper abdomen middle part backnausea vomitingweakness extreme tirednessloss appetite feeling fullnessweight loss for know reasonautoimmune pancreatitis aip difficult diagnose often doesn cause any symptom symptom sign type aip be similar those pancreatic cancer
70,Back pain,last longer than few week severe and doesn improve with rest spread down one both leg especially the pain go below knee cause weakness numbness tingle leg pair unexplained weight loss back can range from muscle ache shoot burning stab sensation also radiate leg bending twist lift stand walk make bad
71,Bacterial vaginosis,thin vaginal discharge that may gray white green foul smell fishy odor vaginal itch burning during urination symptom bacterial vaginosis include
72,Bad breath,food the breakdown food particle and around your teeth can increase bacteria cause foul odor eat certain food such onion garlic spice also bad breath after you digest these they enter bloodstream be carry lung affect breath tobacco product smoking cause it own unpleasant mouth smoker oral tobacco user more likely have gum disease another source breath poor dental hygiene don brush floss daily remain mouth cause colorless sticky film plaque form teeth not brush away plaque irritate gum eventually form plaque fill pocket between periodontitis your tongue trap that produce odor denture aren clean regularly fit properly harbor odor cause particle dry mouth saliva help cleanse remove condition call dry xerostomia zeer stoe uh contribute breath because production saliva decrease dry naturally occurs during sleep lead morning breath worsens sleep with open chronic cause problem salivary gland some disease medication some medication indirectly contribute mouth others broken down the body release chemical breath infection mouth bad surgical wound after surgery tooth removal result decay disease sore other nose throat condition bad occasionally stem from small stone tonsil cover infection chronic inflammation nose sinus throat which postnasal drip breath other cause disease cancer condition metabolic disorder distinctive odor produce reflux stomach acid gastroesophageal gerd associate bad young child foreign body piece food lodge nostril bad odor vary depend underlie cause some people worry too much about their even though little odor while others know because difficult ass how smell ask close friend relative confirm bad breath question
73,Bags under eyes,mild swellingsaggy loose skindark circlessymptoms bag under eye can include
74,Baker cyst,swell behind the knee and sometimes legknee painstiffness inability fully flex kneein some case baker cyst cause pain you may not notice have symptom they might include
75,Balance problems,sense motion spin vertigo feel faintness lightheadedness presyncope loss balance unsteadinessfalling feel like you might fallfeeling float sensation dizzinessvision change such blurrinessconfusionsigns and symptom problem include
76,Barrett's esophagus,frequent heartburn and regurgitation stomach contentsdifficulty swallow foodless commonly chest painthe development barrett esophagus most often attribute long stand gerd which may include these sign symptom
77,Bed-wetting,your child still wet the bed after age your start wet few month be dry nightbed wet accompany painful urination unusual thirst pink red urine hard stool snoringmost kid be fully toilet train but there really target date for develop complete bladder control between age and bed wet remains problem some child after year age small number child bed
78,Bedbugs,inflame spot often with darker spot the middleitchyarranged rough line clusterlocated face neck arm and handsit can difficult tell bedbug bite from other type insect bite however they be typically itchy may appear cluster line row
79,Bedsores (pressure ulcers),unusual change skin color textureswellingpus like drainingan area that feel cooler warmer the touch than other areastender areaswarning sign bedsore pressure ulcer be
80,Bee sting,instant sharp burning pain the sting sitea red welt areaslight swell around areabee sting can produce different reaction range from temporary and discomfort severe allergic reaction have one type reaction doesn mean you always have same every time you stung that next will necessarily more severe
81,Behcet's disease,mouth painful mouth sore that look similar canker be the most common sign behcet disease they begin raise round lesion quickly turn into painful ulcer the usually heal one three week though they recur skin some people develop acnelike their body others red raise and tender nodule skin especially low leg genitals red open can occur scrotum vulva leave scar eye inflammation eye uveitis cause redness pain blur vision typically both eye with disease condition come go joint joint swell often affect knee ankle elbow wrist also might involve sign symptom last week go away own blood vessel inflammation vein artery cause pain arm leg when blood clot result inflammation large lead complication such aneurysm narrow blockage vessel digestive system variety sign digestive system include abdominal diarrhea bleeding brain inflammation brain nervous system headache fever disorientation poor balance stroke behcet disease vary from person person become less severe over time depend which part your body affected
82,Bell's palsy,rapid onset mild weakness total paralysis one side your face occur within hour daysfacial droop and difficulty make facial expression such closing eye smilingdroolingpain around the jaw behind ear affected sideincreased sensitivity sound sideheadachea loss tastechanges amount tear saliva you producethe nerve that control muscle pass through narrow corridor bone it way face facial may cause corner mouth droop have trouble retain mouth the condition also make difficult close
83,Benign paroxysmal positional vertigo (BPPV),dizzinessa sense that you your surroundings be spin move vertigo loss balance unsteadinessnauseavomitingthe sign and symptom benign paroxysmal positional vertigo bppv may include
84,Benign peripheral nerve tumor,swell lump under your skinpain tingle numbnessweakness loss function the affected areadizziness balancea benign peripheral nerve tumor can cause symptom press which grow nearby nerve blood vessel tissue
85,Benign prostatic hyperplasia (BPH),frequent urgent need pee also call urination pee more often night trouble start pee weak urine stream stream that stop and start dribble the end urination not be able fully empty bladder common symptom bph include
86,Binge-eating disorder,eat unusually large amount food specific amount time such over two hour periodfeeling that your eat behavior out controleating even when you full not hungryeating rapidly during binge episodeseating until uncomfortably fullfrequently alone secretfeeling depressed disgust ashamed guilty upset about eatingfrequently diet possibly without weight lossmost people with binge eat disorder be overweight obese but you may normal weight behavioral and emotional sign symptom include
87,Bipolar disorder,bipolar disorder you have least one manic episode that may precede follow hypomanic major depressive episode some case mania trigger break from reality psychosis bipolar ii and episode but you never episode cyclothymic two year year child teenager many period hypomania symptom though less severe than depression other type these include for example bipolar related disorder induced certain drug alcohol due medical condition such cushing disease multiple sclerosis stroke there be several type disorder they include depression symptom can cause unpredictable change mood behavior result significant distress difficulty life
88,Black hairy tongue,black discoloration the tongue although color may brown tan green yellow whitea hairy furry appearance tonguealtered taste metallic your mouthbad breath halitosis gag tickle sensation overgrowth papilla excessivesigns and symptom black tongue include
89,Bladder cancer,blood urine hematuria which may cause appear bright red cola color though sometimes the appear normal and blood detect lab testfrequent urinationpainful urinationback painbladder cancer sign symptom include
90,Bladder exstrophy,epispadias this the least severe form ofbeec which tube expel urine urethra doesn fully develop bladder exstrophy this defect cause bladder outside body the also turn inside out usually exstrophy will involve organ urinary tract well digestive and reproductive system defect abdominal wall bladder genitals pelvic bone final section large intestine rectum opening end rectum anus can occur child with have vesicoureteral reflux this condition flow wrong way from back into tube that connect kidney ureter child epispadias cloacal exstrophy cloacal kloe kul ek stroh fee most serious ofbeec this condition rectum genitals don separate fetus develops these may not correctly form bone be affected well the kidney backbone spinal cord affected most child cloacal abnormality include spina bifida born protrude probably exstrophy bladder common large group birth defect call exstrophy epispadias complex beec beec one follow
91,Blood in urine (hematuria),urinary tract infection utis these happen when bacteria get into the tube through which urine leaf body call urethra then multiply bladder utiscan cause bleeding that make look red pink brown with auti you also may have strong urge pee last long time you pain and burning while pee your very smell too kidney infection this type ofutialso pyelonephritis kidney can enter kidney from bloodstream infection move pair tube connect with bladder ureter kidney same urine related symptom otherutiscan but they more likely fever back side groin bladder kidney stone the mineral form crystal wall bladder over time become small hard stone the stone be often painless they hurt lot blockage leave body urine bladder blood see naked eye well only lab enlarge prostate the prostate gland just below surround top part get big toward middle age then put pressure urethra partly block flow enlarge prostate might trouble pee urgent last need pee infection prostatitis symptom kidney disease blood lab common symptom disease glomerulonephritis this disease tiny filter remove waste inflame glomerulonephritis condition affect whole such diabetes it own cancer blood sign advanced kidney cancer these cancer not sooner treatment could work well inherit illness genetic red cell sickle cell anemia the cell visible too see damage vessel kidney alport syndrome urine kidney injury blow other injury accident contact sport show urine medicine anti cancer drug cyclophosphamide cytoxan antibiotic penicillin link medicine prevent clot tie include medicine keep platelet stick together reliever aspirin thin blood heparin cause hard exercise blood after play sport football damage cause get hit blood long distance marathon run but less clear why reason don involve injury when exercise cause urine go away own within week see your exercise assume exercise see health care provider blood pink cola color red change color take small amount turn red
92,Body dysmorphic disorder,be extremely preoccupy with perceive flaw appearance that others can see appear minorstrong belief you have defect your make ugly deformedbelief take special notice negative way mock youengaging behavior aim fix hiding the be difficult resist control such frequently check mirror groom skin pickingattempting hide flaw style makeup clothesconstantly compare othersfrequently seek reassurance about from othershaving perfectionist tendenciesseeking cosmetic procedure little satisfactionavoiding social situationssigns and symptom body dysmorphic disorder include
93,Bone cancer,bone painswelling and tenderness near the affected areaweakened bone lead fracturefatigueunintended weight losssigns symptom bone cancer include
94,Bone spurs,knee bone spur your knee can make painful extend and bend leg spine vertebra bone narrow the space that contains spinal cord these pinch cord it nerve root cause weakness numbness arm leg hip bone move hip although you might feel pain knee depend their placement reduce range motion hip joint the joint show left side image normal but right show deterioration cartilage formation due osteoarthritis
95,Borderline personality disorder,intense fear abandonment even go extreme measure avoid real imagine separation rejectiona pattern unstable relationship such idealize someone one moment and then suddenly believe the person doesn care enough cruelrapid change self identity self image that include shift goal value see yourself bad you don exist allperiods stress related paranoia loss contact with reality last from few minute hoursimpulsive risky behavior gamble reckless drive unsafe sex spending spree binge eat drug abuse sabotage success quit good job end positive relationshipsuicidal threat behavior self injury often response rejectionwide mood swing hour day which can happiness irritability shame anxietyongoing feeling emptinessinappropriate anger frequently lose your temper be sarcastic bitter have physical fightsborderline personality disorder affect how feel about yourself relate others behave
96,Botulism,trouble swallow speakingdry mouthfacial weakness both side the faceblurred double visiondrooping eyelidstrouble breathingnausea vomit and stomach crampsparalysissymptoms foodborne botulism typically begin hour after toxin get into your body but depend how much you consume start symptom may range from few day
97,Brachial plexus injury,feel like electric shock burning sensation shoot down the armnumbness and weakness arma cross section spine left show how nerve root be connect spinal cord the most severe type injury avulsion where torn away from less injury involve stretch b fiber rupture c into two piece
98,Bradycardia,chest painconfusion memory problemsdizziness lightheadednesseasily tire during physical activityfatiguefainting syncope near faintingshortness breatha slow than typical heartbeat bradycardia can prevent the brain and other organ from get enough oxygen possibly cause these sign symptom
99,Brain AVM (arteriovenous malformation),seizuresheadache pain one area the headmuscle weakness numbness part bodya brain arteriovenous malformation may not cause any sign symptom until avm rupture result hemorrhage about half all avms hemorrhage first sign
100,Brain aneurysm,nausea and vomitingstiff neckblurred double visionsensitivity lightseizurea droop eyelidloss consciousnessconfusionmost brain aneurysm that haven rupture don cause symptom this especially true they small brain may found during image test be do for other condition
101,Brain metastases,headache sometimes with vomit nauseamental change such increase memory problemsseizuresweakness numbness one side the bodysigns and symptom cause brain metastasis can vary base location size rate growth metastatic tumor
102,Brain tumor,headache pressure the head that bad morning headache happen more often and seem severe headache be sometimes described tension headache migraine nausea vomit eye problem such blurry vision see double lose sight side your vision lose feel movement arm leg trouble with balance speech problem feel very tire confusion everyday matter memory problem have trouble follow simple command personality behavior change seizure especially there history seizure hearing problem dizziness sense world spin also call vertigo feel hungry gain weight the sign symptom brain tumor depend tumor size location symptom might how fast grow which grade
103,Breast cancer,breast lump thicken that feel different from the surround tissuechange size shape appearance breastchanges skin over breast such dimplinga newly invert nipplepeeling scale crust flake pigment area nipple areola skinredness pit your like orangebreast and change can sign cancer make appointment with doctor you notice anything unusual
104,Breast pain,clearly related the menstrual cycle and change hormone levelsdescribed dull heavy achingoften accompany breast swell fullness lumpinessusually affect both breast particularly upper outer portion can radiate underarmintensifies during two week lead start period then eas afterwardmore likely affect people their well who be transition menopausebreast pain cyclic noncyclic cyclic mean that occurs regular pattern noncyclic constant there not each type have distinct characteristic
105,Broken arm,severe pain which might increase with movementswellingbruisingdeformity such bent arm wristinability turn your from palm down vice versaa snap crack sound first indication you broken arm sign and symptom include
106,Broken collarbone,pain that increase when move the shoulder swell tenderness bruising skin over break might look like tent gently pinch bump near shoulder grind crackle sound shoulder stiffness not be able move shoulder symptom broken collarbone include
107,Broken foot,immediate throb painpain that increase with activity and decrease restswellingbruisingtendernessdeformitydifficulty walk bearing weightif you have broken foot may experience some the follow sign symptom
108,Broken heart syndrome,chest pain shortness breath symptom broken heart syndrome can mimic attack symptom may include
109,Broken leg,severe pain which may worsen with movementswellingtendernessbruisingobvious deformity shorten the affected leginability walkthe thighbone femur strong bone body usually obvious when broken because take much force break but break shinbone tibia that run alongside fibula less obvious
